Theta: 1.570700
periodo,theta_Calc,theta_Anali
0.086700,1.513143,0.948760
0.086800,1.513011,0.948094
0.086900,1.512879,0.947429
0.087000,1.512746,0.946763
0.087100,1.512614,0.946098
0.087200,1.512481,0.945432
0.087300,1.512348,0.944767
0.087400,1.512215,0.944102
0.087500,1.512082,0.943437
0.087600,1.511949,0.942773
0.087700,1.511816,0.942108
0.087800,1.511682,0.941443
0.087900,1.511549,0.940779
0.088000,1.511415,0.940115
0.088100,1.511281,0.939450
0.088200,1.511147,0.938786
0.088300,1.511012,0.938122
0.088400,1.510878,0.937458
0.088500,1.510743,0.936795
0.088600,1.510609,0.936131
0.088700,1.510474,0.935468
0.088800,1.510339,0.934804
0.088900,1.510204,0.934141
0.089000,1.510069,0.933478
0.089100,1.509933,0.932815
0.089200,1.509797,0.932152
0.089300,1.509662,0.931489
0.089400,1.509526,0.930826
0.089500,1.509390,0.930164
0.089600,1.509254,0.929501
0.089700,1.509117,0.928839
0.089800,1.508981,0.928177
0.089900,1.508844,0.927514
0.090000,1.508707,0.926852
0.090100,1.508571,0.926190
0.090200,1.508433,0.925529
0.090300,1.508296,0.924867
0.090400,1.508159,0.924205
0.090500,1.508021,0.923544
0.090600,1.507884,0.922883
0.090700,1.507746,0.922221
0.090800,1.507608,0.921560
0.090900,1.507470,0.920899
0.091000,1.507332,0.920239
0.091100,1.507193,0.919578
0.091200,1.507055,0.918917
0.091300,1.506916,0.918257
0.091400,1.506777,0.917596
0.091500,1.506638,0.916936
0.091600,1.506499,0.916276
0.091700,1.506360,0.915616
0.091800,1.506220,0.914956
0.091900,1.506081,0.914296
0.092000,1.505941,0.913636
0.092100,1.505801,0.912977
0.092200,1.505661,0.912317
